Nation,Status,Updated
Albania,permissive,"May 4th, 2015"
Argentina,permissive,"Apr 16th, 2015"
Austria,permissive,"Mar 6th, 2014"
Australia,permissive,"Dec 2nd, 2014"
Bangladesh,contentious,"Jul 7th, 2015"
Belgium,permissive,"Jan 21st, 2014"
Bulgaria,permissive,"Apr 8th, 2014"
Bolivia,hostile,"Apr 21st, 2015"
Brazil,permissive,"Apr 8th, 2014"
Belarus,permissive,"Jan 30th, 2014"
Canada,permissive,"Feb 1st, 2014"
Switzerland,permissive,"Feb 1st, 2014"
China,contentious,"Mar 23rd, 2014"
Colombia,permissive,"Mar 26th, 2014"
Cyprus,permissive,"Feb 3rd, 2014"
Czech Republic,permissive,"Jan 26th, 2014"
Germany,permissive,"Feb 23rd, 2014"
Denmark,permissive,"Mar 23rd, 2014"
Dominican Republic,hostile,"Apr 24th, 2016"
Ecuador,hostile,"Apr 1st, 2015"
Estonia,permissive,"Feb 3rd, 2014"
Spain,permissive,"Feb 4th, 2014"
Finland,permissive,"Nov 25th, 2014"
France,permissive,"Jan 29th, 2014"
United Kingdom,permissive,"Mar 30th, 2015"
Greenland,permissive,"Jan 12th, 2014"
Greece,permissive,"Feb 13th, 2014"
Hong Kong,permissive,"Jan 24th, 2014"
Croatia,permissive,"Feb 3rd, 2014"
Hungary,permissive,"Feb 19th, 2014"
Indonesia,permissive,"Feb 6th, 2014"
Ireland,permissive,"Jan 6th, 2014"
Israel,permissive,"Feb 19th, 2014"
Isle of Man,permissive,"Mar 30th, 2015"
India,contentious,"Jan 23rd, 2014"
European Union,permissive,"Dec 12th, 2015"
FATF,permissive,"Apr 20th, 2015"
Interpol,permissive,"Jan 1st, 1970"
Iran,permissive,"Mar 11th, 2014"
Iceland,hostile,"Jan 26th, 2014"
Italy,permissive,"Feb 4th, 2014"
Jersey,permissive,"Apr 24th, 2014"
Jamaica,permissive,"Apr 24th, 2016"
Jordan,contentious,"Feb 23rd, 2014"
Japan,permissive,"Mar 23rd, 2014"
South Korea,permissive,"Feb 1st, 2014"
Kazakhstan,contentious,"Feb 4th, 2014"
Lebanon,permissive,"Jan 26th, 2014"
Liechtenstein,permissive,"Nov 21st, 2014"
Lithuania,permissive,"Feb 10th, 2014"
Luxembourg,permissive,"Mar 24th, 2014"
Latvia,permissive,"Feb 7th, 2014"
Malta,permissive,"Feb 4th, 2014"
Mexico,permissive,"Dec 12th, 2015"
Malaysia,permissive,"Feb 1st, 2014"
Netherlands,permissive,"Jan 1st, 1970"
Norway,permissive,"Jan 20th, 2014"
New Zealand,permissive,"Feb 19th, 2014"
Philippines,permissive,"Mar 11th, 2014"
Poland,permissive,"May 28th, 2014"
Portugal,permissive,"Feb 4th, 2014"
Russia,contentious,"Feb 12th, 2014"
Sweden,permissive,"Jul 26th, 2014"
Singapore,permissive,"Mar 24th, 2014"
Slovenia,permissive,"Feb 20th, 2014"
Slovakia,permissive,"Feb 4th, 2014"
Thailand,contentious,"Jul 30th, 2014"
Turkey,permissive,"Feb 4th, 2014"
Trinidad and Tobago,permissive,"Mar 24th, 2014"
Taiwan,permissive,"Feb 3rd, 2014"
Ukraine,permissive,"Nov 12th, 2014"
United States,permissive,"Mar 23rd, 2014"
Vietnam,contentious,"Feb 28th, 2014"
South Africa,permissive,"Feb 20th, 2014"
