Country,Percent,USD Value,Raw
Argentina,0.139040525,8793856.26,0.001390405
Australia,2.939683659,185925330.8,0.029396837
Brazil,0.468928161,29658165.16,0.004689282
Canada,1.588666033,100477905.8,0.01588666
Chile,0.165303663,10454913.46,0.001653037
China,9.830048953,621718292,0.09830049
Colombia,1.030692731,65187928.1,0.010306927
Croatia,0.055047922,3481600.16,0.000550479
Czech Republic,0.067671029,4279970.205,0.00067671
Denmark,0.070183358,4438866.72,0.000701834
Dominican Republic,0.069610125,4402611.64,0.000696101
Hong Kong,0.653890043,41356396.38,0.0065389
Hungary,0.017150926,1084739.712,0.000171509
India,1.160494792,73397481.89,0.011604948
Indonesia,0.016195345,1024302.367,0.000161953
Iran,0.260025961,16445787.54,0.00260026
Japan,0.02060701,1303325.678,0.00020607
Kazakhstan,0.045884255,2902028.344,0.000458843
Kenya,0.393778666,24905206.57,0.003937787
Malaysia,1.058503127,66946844.25,0.010585031
Mexico,0.349078215,22078049.9,0.003490782
Morocco,0.091347731,5777443.8,0.000913477
New Zealand,0.851055962,53826492.76,0.00851056
Nigeria,4.072149145,257550051.2,0.040721491
Norway,0.654110877,41370363.36,0.006541109
Pakistan,0.561955651,35541848.19,0.005619557
Peru,0.287155632,18161650.08,0.002871556
Philippines,0.192216812,12157081.66,0.001922168
Poland,0.123468165,7808955.66,0.001234682
Romania,0.310514572,19639026.25,0.003105146
Russia,16.55345389,1046951559,0.165534539
Saudi Arabia,0.374754657,23702000.49,0.003747547
Singapore,0.339899832,21497547.35,0.003398998
South Africa,1.550093929,98038346.98,0.015500939
Sweden,1.069695992,67654756.18,0.01069696
Switzerland,0.177304074,11213900,0.001773041
Tanzania,0.03255674,2059106.797,0.000325567
Thailand,0.955649571,60441694.86,0.009556496
Turkey,0.165223398,10449836.98,0.001652234
Ukraine,0.513257502,32461850.32,0.005132575
United Arab Emirates,0.532390512,33671950.29,0.005323905
United Kingdom,11.6652411,737788164.3,0.116652411
United States,22.77216985,1440264907,0.227721698
Venezuela,11.18274811,707272068.5,0.111827481
Vietnam,0.053749905,3399504.884,0.000537499
Rest Of Europe,4.517351883,285707661.3,0.045173519
